Source,Target,cash,material,help
BDSU008,BDSU009,0,0,1
BDSU028,BDSU009,0,0,1
BDSU028,BDSU009,0,0,1
BDSU050,BDSU009,0,0,1
BDSU002,BDSU010,0,0,1
BDSU024,BDSU010,0,0,1
BDSU056,BDSU010,0,0,1
BDSU011,BDSU011,0,0,1
BDSU011,BDSU011,0,0,1
BDSU011,BDSU011,0,0,1
BDSU018,BDSU011,0,0,1
BDSU041,BDSU011,0,0,1
BDSU001,BDSU012,0,0,1
BDSU012,BDSU012,0,0,1
BDSU012,BDSU012,0,0,1
BDSU013,BDSU012,0,0,1
BDSU038,BDSU012,0,0,1
BDSU013,BDSU013,0,0,1
BDSU013,BDSU013,0,0,1
BDSU013,BDSU013,0,0,1
BDSU014,BDSU014,0,0,1
BDSU075,BDSU014,0,0,1
BDSU015,BDSU015,0,0,1
BDSU017,BDSU015,0,0,1
BDSU026,BDSU015,0,0,1
BDSU029,BDSU015,0,0,1
BDSU003,BDSU016,0,0,1
BDSU017,BDSU017,0,0,1
BDSU018,BDSU017,0,0,1
BDSU050,BDSU017,0,0,1
BDSU004,BDSU018,0,0,1
BDSU008,BDSU018,0,0,1
BDSU018,BDSU018,0,0,1
BDSU050,BDSU018,0,0,1
BDSU024,BDSU019,0,0,1
BDSU046,BDSU019,0,0,1
BDSU047,BDSU019,0,0,1
BDSU020,BDSU020,0,0,1
BDSU020,BDSU020,0,0,1
BDSU029,BDSU020,0,0,1
BDSU046,BDSU020,0,0,1
BDSU065,BDSU020,0,0,1
BDSU073,BDSU020,0,0,1
BDSU073,BDSU020,0,0,1
BDSU028,BDSU021,0,0,1
BDSU028,BDSU021,0,0,1
BDSU062,BDSU021,0,0,1
BDSU064,BDSU021,0,0,1
BDSU065,BDSU021,0,0,1
BDSU022,BDSU022,0,0,1
BDSU032,BDSU022,0,0,1
BDSU032,BDSU022,0,0,1
BDSU022,BDSU023,0,0,1
BDSU052,BDSU023,0,0,1
BDSU024,BDSU024,0,0,1
BDSU024,BDSU024,0,0,1
BDSU024,BDSU024,0,0,1
BDSU025,BDSU024,0,0,1
BDSU025,BDSU025,0,0,1
BDSU026,BDSU026,0,0,1
BDSU029,BDSU026,0,0,1
BDSU029,BDSU026,0,0,1
BDSU027,BDSU027,0,0,1
BDSU027,BDSU027,0,0,1
BDSU027,BDSU027,0,0,1
